metric_id,audience,metric_name,numerator,denominator,percentage,source_question,calculation_rule,status,notes
L_Q09_SCORE_2,learner,Q9 score 2,2,18,11.1,Q09 — Đánh giá các vấn đề sau (Dành cho Học viên) [Khó theo dõi cuộc trò chuyện dài],Normalize leading scale value to integer 1-5; count score 2,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_Q09_SCORE_3,learner,Q9 score 3,3,18,16.7,Q09 — Đánh giá các vấn đề sau (Dành cho Học viên) [Khó theo dõi cuộc trò chuyện dài],Normalize leading scale value to integer 1-5; count score 3,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_Q09_SCORE_4,learner,Q9 score 4,8,18,44.4,Q09 — Đánh giá các vấn đề sau (Dành cho Học viên) [Khó theo dõi cuộc trò chuyện dài],Normalize leading scale value to integer 1-5; count score 4,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_Q09_SCORE_5,learner,Q9 score 5,5,18,27.8,Q09 — Đánh giá các vấn đề sau (Dành cho Học viên) [Khó theo dõi cuộc trò chuyện dài],Normalize leading scale value to integer 1-5; count score 5,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_ASKED_OLD_QUESTION_GE4,learner,Đã từng hỏi lại câu hỏi cũ ở mức ≥4,6,18,33.3,Q07 — Đánh giá các vấn đề sau (Dành cho Học viên) [Đã từng hỏi lại câu hỏi cũ],Normalized Q07 score >= 4,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_SEARCH_TIME_1_5_phut,learner,1 - 5 phút,12,18,66.7,Q10 — Trung bình bạn mất bao lâu để tìm kiếm thông tin cần thiết trên Discord?,Count learner respondents with this exact response,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_SEARCH_TIME_tren_5_phut,learner,Trên 5 phút,4,18,22.2,Q10 — Trung bình bạn mất bao lâu để tìm kiếm thông tin cần thiết trên Discord?,Count learner respondents with this exact response,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_SEARCH_TIME_duoi_1_phut,learner,Dưới 1 phút,2,18,11.1,Q10 — Trung bình bạn mất bao lâu để tìm kiếm thông tin cần thiết trên Discord?,Count learner respondents with this exact response,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_SEARCH_OVER_5_MINUTES,learner,Mất trên 5 phút để tìm thông tin,4,18,22.2,Q10 — Trung bình bạn mất bao lâu để tìm kiếm thông tin cần thiết trên Discord?,Exact response = 'Trên 5 phút',OBSERVED_ELIGIBILITY_UNVERIFIED,
L_ABANDONED_SEARCH_da_tung,learner,Đã từng,15,18,83.3,Q11 — Bạn đã từng từ bỏ việc tìm thông tin vì mất quá nhiều thời gian hay chưa?,Count learner respondents with this exact response,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_ABANDONED_SEARCH_chua_bao_gio,learner,Chưa bao giờ,3,18,16.7,Q11 — Bạn đã từng từ bỏ việc tìm thông tin vì mất quá nhiều thời gian hay chưa?,Count learner respondents with this exact response,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_ABANDONED_SEARCH_YES,learner,Đã từng từ bỏ tìm kiếm,15,18,83.3,Q11 — Bạn đã từng từ bỏ việc tìm thông tin vì mất quá nhiều thời gian hay chưa?,Exact response = 'Đã từng',OBSERVED_ELIGIBILITY_UNVERIFIED,
L_SOLUTION_SUPPORT_thong_bao_lich_hoc,learner,Thông báo lịch học,15,18,83.3,Q12 — AI nên hỗ trợ những gì cho bạn?,Count unique learner respondents selecting this option after splitting multi-select cells,OBSERVED_ELIGIBILITY_UNVERIFIED,Solution preference; not pain evidence
L_SOLUTION_SUPPORT_huong_dan_tim_tai_lieu,learner,Hướng dẫn tìm tài liệu,14,18,77.8,Q12 — AI nên hỗ trợ những gì cho bạn?,Count unique learner respondents selecting this option after splitting multi-select cells,OBSERVED_ELIGIBILITY_UNVERIFIED,Solution preference; not pain evidence
L_SOLUTION_SUPPORT_tom_tat_tin_nhan_bi_troi,learner,Tóm tắt tin nhắn bị trôi,13,18,72.2,Q12 — AI nên hỗ trợ những gì cho bạn?,Count unique learner respondents selecting this option after splitting multi-select cells,OBSERVED_ELIGIBILITY_UNVERIFIED,Solution preference; not pain evidence
L_SOLUTION_SUPPORT_tra_loi_cau_hoi_ve_bai_tap,learner,Trả lời câu hỏi về bài tập,12,18,66.7,Q12 — AI nên hỗ trợ những gì cho bạn?,Count unique learner respondents selecting this option after splitting multi-select cells,OBSERVED_ELIGIBILITY_UNVERIFIED,Solution preference; not pain evidence
L_SOLUTION_SUPPORT_khong_co_y_kien,learner,Không có ý kiến,1,18,5.6,Q12 — AI nên hỗ trợ những gì cho bạn?,Count unique learner respondents selecting this option after splitting multi-select cells,OBSERVED_ELIGIBILITY_UNVERIFIED,Solution preference; not pain evidence
L_UNCERTAIN_BOT_ACTION_chuyen_tiep_cau_hoi_cho_tro_giang,learner,Chuyển tiếp câu hỏi cho Trợ giảng,11,18,61.1,Q14 — AI nên làm gì khi không chắc chắn về câu trả lời?,Count learner respondents with this exact response,OBSERVED_ELIGIBILITY_UNVERIFIED,Solution/safety preference; not pain evidence
L_UNCERTAIN_BOT_ACTION_co_gang_tra_loi_dua_tren_suy_doan,learner,Cố gắng trả lời dựa trên suy đoán,5,18,27.8,Q14 — AI nên làm gì khi không chắc chắn về câu trả lời?,Count learner respondents with this exact response,OBSERVED_ELIGIBILITY_UNVERIFIED,Solution/safety preference; not pain evidence
L_UNCERTAIN_BOT_ACTION_xin_loi_va_yeu_cau_hoc_vien_hoi_lai_sau,learner,Xin lỗi và yêu cầu học viên hỏi lại sau,2,18,11.1,Q14 — AI nên làm gì khi không chắc chắn về câu trả lời?,Count learner respondents with this exact response,OBSERVED_ELIGIBILITY_UNVERIFIED,Solution/safety preference; not pain evidence
L_PRIORITY_FEATURE_giai_dap_thac_mac_chuyen_mon,learner,Giải đáp thắc mắc chuyên môn,6,18,33.3,Q16 — Tính năng AI nào bạn cho là quan trọng nhất?,Count learner respondents with this exact response,OBSERVED_ELIGIBILITY_UNVERIFIED,Solution preference; not pain evidence
L_PRIORITY_FEATURE_quan_ly_va_tom_tat_thong_bao,learner,Quản lý và tóm tắt thông báo,5,18,27.8,Q16 — Tính năng AI nào bạn cho là quan trọng nhất?,Count learner respondents with this exact response,OBSERVED_ELIGIBILITY_UNVERIFIED,Solution preference; not pain evidence
L_PRIORITY_FEATURE_tim_kiem_tai_lieu_thong_minh,learner,Tìm kiếm tài liệu thông minh,4,18,22.2,Q16 — Tính năng AI nào bạn cho là quan trọng nhất?,Count learner respondents with this exact response,OBSERVED_ELIGIBILITY_UNVERIFIED,Solution preference; not pain evidence
L_PRIORITY_FEATURE_nhac_nho_han_nop_bai,learner,Nhắc nhở hạn nộp bài,3,18,16.7,Q16 — Tính năng AI nào bạn cho là quan trọng nhất?,Count learner respondents with this exact response,OBSERVED_ELIGIBILITY_UNVERIFIED,Solution preference; not pain evidence
L_PAIN_CONFIRMED_DRAFT,learner,pain_confirmed_draft,10,18,55.6,Q05 — Những khó khăn bạn thường gặp khi sử dụng Discord (Dành cho Học viên),Q05 includes 'Câu hỏi không được trả lời' OR Q05 includes 'Có quá nhiều câu hỏi trùng lặp' OR normalized Q07 >= 4,DRAFT_ELIGIBILITY_UNVERIFIED,Draft criterion supplied by team; do not change after seeing results
L_SUPPORT_MESSAGE_DRIFT,learner,Tin nhắn bị trôi,16,18,88.9,Q05 — Những khó khăn bạn thường gặp khi sử dụng Discord (Dành cho Học viên),Q05 multi-select includes 'Tin nhắn bị trôi',OBSERVED_ELIGIBILITY_UNVERIFIED,
L_SUPPORT_HARD_TO_FIND,learner,Khó tìm thông tin,12,18,66.7,Q05 — Những khó khăn bạn thường gặp khi sử dụng Discord (Dành cho Học viên),Q05 multi-select includes 'Khó tìm thông tin',OBSERVED_ELIGIBILITY_UNVERIFIED,
L_SUPPORT_MISSED_ANNOUNCEMENT,learner,Bỏ lỡ thông báo,16,18,88.9,Q05 — Những khó khăn bạn thường gặp khi sử dụng Discord (Dành cho Học viên),Q05 multi-select includes 'Bỏ lỡ thông báo',OBSERVED_ELIGIBILITY_UNVERIFIED,
L_SUPPORT_LONG_THREAD_GE4,learner,Khó theo dõi cuộc trò chuyện dài ở mức ≥4,13,18,72.2,Q09 — Đánh giá các vấn đề sau (Dành cho Học viên) [Khó theo dõi cuộc trò chuyện dài],Normalized Q09 score >= 4,OBSERVED_ELIGIBILITY_UNVERIFIED,
L_FREE_TEXT_RESPONSE_COUNT,learner,Free-text learner responses with content,7,18,38.9,Q17 — Khó khăn lớn nhất của bạn khi học trên Discord là gì? (Dành cho Học viên),Nonblank learner response,OBSERVED_ELIGIBILITY_UNVERIFIED,
TA_Q18_1_3_gio,ta_labcoach,1 - 3 giờ,2,2,100,Q18 — Thời gian mỗi ngày bạn dành để hỗ trợ trên Discord (Dành cho TA),Count ta_labcoach respondents with this exact response,DIRECTIONAL_ONLY_ELIGIBILITY_UNVERIFIED,Directional only; n=2
TA_Q20_rat_thuong_xuyen,ta_labcoach,Rất thường xuyên,1,2,50,Q20 — Tần suất phải trả lời lặp lại các câu hỏi cũ (Dành cho TA),Count ta_labcoach respondents with this exact response,DIRECTIONAL_ONLY_ELIGIBILITY_UNVERIFIED,Directional only; n=2
TA_Q20_thinh_thoang,ta_labcoach,Thỉnh thoảng,1,2,50,Q20 — Tần suất phải trả lời lặp lại các câu hỏi cũ (Dành cho TA),Count ta_labcoach respondents with this exact response,DIRECTIONAL_ONLY_ELIGIBILITY_UNVERIFIED,Directional only; n=2
TA_Q21_25_50,ta_labcoach,25% - 50%,1,2,50,Q21 — Ước lượng tỷ lệ câu hỏi lặp lại mỗi ngày (Dành cho TA),Count ta_labcoach respondents with this exact response,DIRECTIONAL_ONLY_ELIGIBILITY_UNVERIFIED,Directional only; n=2
TA_Q21_duoi_25,ta_labcoach,Dưới 25%,1,2,50,Q21 — Ước lượng tỷ lệ câu hỏi lặp lại mỗi ngày (Dành cho TA),Count ta_labcoach respondents with this exact response,DIRECTIONAL_ONLY_ELIGIBILITY_UNVERIFIED,Directional only; n=2
TA_Q25_chua_bao_gio,ta_labcoach,Chưa bao giờ,2,2,100,Q25 — Bạn đã từng trả lời sai do quá nhiều tin nhắn hay chưa?,Count ta_labcoach respondents with this exact response,DIRECTIONAL_ONLY_ELIGIBILITY_UNVERIFIED,Directional only; n=2
TA_Q28_giai_dap_cau_hoi_lap_lai,ta_labcoach,Giải đáp câu hỏi lặp lại,2,2,100,Q28 — Nếu AI chỉ được hỗ trợ một việc thì nên hỗ trợ việc gì?,Count ta_labcoach respondents with this exact response,DIRECTIONAL_ONLY_ELIGIBILITY_UNVERIFIED,Directional only; n=2
TA_Q30_co,ta_labcoach,Có,2,2,100,Q30 — Có muốn nhận báo cáo tổng hợp cuối ngày về hoạt động của cộng đồng hay không?,Count ta_labcoach respondents with this exact response,DIRECTIONAL_ONLY_ELIGIBILITY_UNVERIFIED,Directional only; n=2
TA_Q19_cau_hoi_ve_lich_trinh,ta_labcoach,Câu hỏi về lịch trình,2,2,100,Q19 — Những loại câu hỏi học viên hỏi nhiều nhất (Dành cho TA),Count unique ta_labcoach respondents selecting this option after splitting multi-select cells,DIRECTIONAL_ONLY_ELIGIBILITY_UNVERIFIED,Directional only; n=2
TA_Q19_cau_hoi_ve_thu_tuc_quy_trinh,ta_labcoach,Câu hỏi về thủ tục/quy trình,2,2,100,Q19 — Những loại câu hỏi học viên hỏi nhiều nhất (Dành cho TA),Count unique ta_labcoach respondents selecting this option after splitting multi-select cells,DIRECTIONAL_ONLY_ELIGIBILITY_UNVERIFIED,Directional only; n=2
TA_Q22_tin_nhan_bi_troi,ta_labcoach,Tin nhắn bị trôi,2,2,100,Q22 — Những khó khăn khi quản lý Discord (Dành cho TA) [Rất khó khăn],Count unique ta_labcoach respondents selecting this option after splitting multi-select cells,DIRECTIONAL_ONLY_ELIGIBILITY_UNVERIFIED,Directional only; n=2
TA_Q22_hoc_vien_hoi_sai_kenh,ta_labcoach,Học viên hỏi sai kênh,1,2,50,Q22 — Những khó khăn khi quản lý Discord (Dành cho TA) [Rất khó khăn],Count unique ta_labcoach respondents selecting this option after splitting multi-select cells,DIRECTIONAL_ONLY_ELIGIBILITY_UNVERIFIED,Directional only; n=2
TA_Q22_kho_phat_hien_hoc_vien_dang_gap_kho_khan,ta_labcoach,Khó phát hiện học viên đang gặp khó khăn,1,2,50,Q22 — Những khó khăn khi quản lý Discord (Dành cho TA) [Rất khó khăn],Count unique ta_labcoach respondents selecting this option after splitting multi-select cells,DIRECTIONAL_ONLY_ELIGIBILITY_UNVERIFIED,Directional only; n=2
TA_Q22_kho_theo_doi_cau_hoi_chua_tra_loi,ta_labcoach,Khó theo dõi câu hỏi chưa trả lời,1,2,50,Q22 — Những khó khăn khi quản lý Discord (Dành cho TA) [Rất khó khăn],Count unique ta_labcoach respondents selecting this option after splitting multi-select cells,DIRECTIONAL_ONLY_ELIGIBILITY_UNVERIFIED,Directional only; n=2
TA_Q26_canh_bao_hoc_vien_vang_mat_tut_hau,ta_labcoach,Cảnh báo học viên vắng mặt/tụt hậu,2,2,100,Q26 — AI nên hỗ trợ những công việc nào cho Trợ giảng?,Count unique ta_labcoach respondents selecting this option after splitting multi-select cells,DIRECTIONAL_ONLY_ELIGIBILITY_UNVERIFIED,Directional only; n=2
TA_Q26_tu_dong_tra_loi_cau_hoi_lap_lai,ta_labcoach,Tự động trả lời câu hỏi lặp lại,2,2,100,Q26 — AI nên hỗ trợ những công việc nào cho Trợ giảng?,Count unique ta_labcoach respondents selecting this option after splitting multi-select cells,DIRECTIONAL_ONLY_ELIGIBILITY_UNVERIFIED,Directional only; n=2
TA_Q26_phan_loai_va_dieu_huong_cau_hoi,ta_labcoach,Phân loại và điều hướng câu hỏi,1,2,50,Q26 — AI nên hỗ trợ những công việc nào cho Trợ giảng?,Count unique ta_labcoach respondents selecting this option after splitting multi-select cells,DIRECTIONAL_ONLY_ELIGIBILITY_UNVERIFIED,Directional only; n=2
TA_Q26_tom_tat_cac_van_de_hoc_vien_dang_gap,ta_labcoach,Tóm tắt các vấn đề học viên đang gặp,1,2,50,Q26 — AI nên hỗ trợ những công việc nào cho Trợ giảng?,Count unique ta_labcoach respondents selecting this option after splitting multi-select cells,DIRECTIONAL_ONLY_ELIGIBILITY_UNVERIFIED,Directional only; n=2
TA_Q29_khi_ai_khong_giai_quyet_duoc_van_de,ta_labcoach,Khi AI không giải quyết được vấn đề,2,2,100,Q29 — AI nên chủ động thông báo cho bạn trong trường hợp nào?,Count unique ta_labcoach respondents selecting this option after splitting multi-select cells,DIRECTIONAL_ONLY_ELIGIBILITY_UNVERIFIED,Directional only; n=2
TA_Q29_khi_co_hoc_vien_bi_hong_kien_thuc,ta_labcoach,Khi có học viên bị hổng kiến thức,2,2,100,Q29 — AI nên chủ động thông báo cho bạn trong trường hợp nào?,Count unique ta_labcoach respondents selecting this option after splitting multi-select cells,DIRECTIONAL_ONLY_ELIGIBILITY_UNVERIFIED,Directional only; n=2
TA_Q29_khi_hoc_vien_hoi_cau_hoi_kho,ta_labcoach,Khi học viên hỏi câu hỏi khó,2,2,100,Q29 — AI nên chủ động thông báo cho bạn trong trường hợp nào?,Count unique ta_labcoach respondents selecting this option after splitting multi-select cells,DIRECTIONAL_ONLY_ELIGIBILITY_UNVERIFIED,Directional only; n=2
TA_Q29_khi_co_qua_nhieu_thac_mac_cung_chu_de,ta_labcoach,Khi có quá nhiều thắc mắc cùng chủ đề,1,2,50,Q29 — AI nên chủ động thông báo cho bạn trong trường hợp nào?,Count unique ta_labcoach respondents selecting this option after splitting multi-select cells,DIRECTIONAL_ONLY_ELIGIBILITY_UNVERIFIED,Directional only; n=2
TA_Q27_RESPONSE_COUNT,ta_labcoach,Q27 nonblank responses,0,2,0,Q27 — AI tuyệt đối không nên tự động trả lời những nội dung nào?,Nonblank TA response,DIRECTIONAL_ONLY_ELIGIBILITY_UNVERIFIED,Directional only; n=2
