response_id,role,eligibility_status,pii_review_status,data_quality_notes,q02_original,q03_original,q04_original,q05_original,q06_original,q07_original,q08_original,q09_original,q10_original,q11_original,q12_original,q13_original,q14_original,q15_original,q16_original,q17_original,q18_original,q19_original,q20_original,q21_original,q22_original,q23_original,q24_original,q25_original,q26_original,q27_original,q28_original,q29_original,q30_original,q02_status,q03_status,q04_status,q05_status,q06_status,q07_status,q08_status,q09_status,q10_status,q11_status,q12_status,q13_status,q14_status,q15_status,q16_status,q17_status,q18_status,q19_status,q20_status,q21_status,q22_status,q23_status,q24_status,q25_status,q26_status,q27_status,q28_status,q29_status,q30_status,q06_normalized,q07_normalized,q08_normalized,q09_normalized,q04_options_normalized,q05_options_normalized,q12_options_normalized,q19_options_normalized,q22_options_normalized,q23_options_normalized,q24_options_normalized,q26_options_normalized,q29_options_normalized,pain_unanswered,pain_duplicate_questions,asked_old_question_ge4,pain_confirmed_draft,support_message_drift,support_hard_to_find,support_missed_announcement,support_search_over_5_minutes,support_abandoned_search,support_long_thread_ge4
R011,ta_labcoach,UNVERIFIED,NO_PII_DETECTED,TA_SAMPLE_DIRECTIONAL_ONLY,Trợ giảng (TA/Lab Coach),,,,,,,,,,,,,,,,1 - 3 giờ,"Câu hỏi về thủ tục/quy trình, Câu hỏi về lịch trình",Thỉnh thoảng,25% - 50%,"Tin nhắn bị trôi, Học viên hỏi sai kênh",Khó theo dõi câu hỏi chưa trả lời,Khó phát hiện học viên đang gặp khó khăn,Chưa bao giờ,"Tự động trả lời câu hỏi lặp lại, Phân loại và điều hướng câu hỏi, Tóm tắt các vấn đề học viên đang gặp, Cảnh báo học viên vắng mặt/tụt hậu",,Giải đáp câu hỏi lặp lại,"Khi học viên hỏi câu hỏi khó, Khi có học viên bị hổng kiến thức, Khi có quá nhiều thắc mắc cùng chủ đề, Khi AI không giải quyết được vấn đề",Có,OBSERVED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,NO_RESPONSE,OBSERVED,OBSERVED,OBSERVED,,,,,,,,Câu hỏi về thủ tục/quy trình | Câu hỏi về lịch trình,Tin nhắn bị trôi | Học viên hỏi sai kênh,Khó theo dõi câu hỏi chưa trả lời,Khó phát hiện học viên đang gặp khó khăn,Tự động trả lời câu hỏi lặp lại | Phân loại và điều hướng câu hỏi | Tóm tắt các vấn đề học viên đang gặp | Cảnh báo học viên vắng mặt/tụt hậu,Khi học viên hỏi câu hỏi khó | Khi có học viên bị hổng kiến thức | Khi có quá nhiều thắc mắc cùng chủ đề | Khi AI không giải quyết được vấn đề,0,0,0,,0,0,0,0,0,0
R012,learner,UNVERIFIED,NO_PII_DETECTED,,Học viên,Hiếm khi,"Nhận thông báo từ giảng viên/trợ giảng, Tìm kiếm tài liệu cũ","Tin nhắn bị trôi, Khó tìm thông tin, Không biết hỏi ở đâu, Bỏ lỡ thông báo, Câu hỏi không được trả lời, Có quá nhiều câu hỏi trùng lặp",4: Thường xuyên,2: Hiếm khi,4: Thường xuyên,5: Rất thường xuyên,1 - 5 phút,Đã từng,"Trả lời câu hỏi về bài tập, Tóm tắt tin nhắn bị trôi, Hướng dẫn tìm tài liệu, Thông báo lịch học",Chỉ khi được tag đích danh,Chuyển tiếp câu hỏi cho Trợ giảng,Không cần thiết,Quản lý và tóm tắt thông báo,,,,,,,,,,,,,,,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,NO_RESPONSE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,4,2,4,5,Nhận thông báo từ giảng viên/trợ giảng | Tìm kiếm tài liệu cũ,Tin nhắn bị trôi | Khó tìm thông tin | Không biết hỏi ở đâu | Bỏ lỡ thông báo | Câu hỏi không được trả lời | Có quá nhiều câu hỏi trùng lặp,Trả lời câu hỏi về bài tập | Tóm tắt tin nhắn bị trôi | Hướng dẫn tìm tài liệu | Thông báo lịch học,,,,,,,1,1,0,1,1,1,1,0,1,1
R013,learner,UNVERIFIED,NO_PII_DETECTED,,Học viên,Thường xuyên (hàng ngày),"Trao đổi bài học, Nhận thông báo từ giảng viên/trợ giảng","Tin nhắn bị trôi, Khó tìm thông tin, Bỏ lỡ thông báo",3: Thỉnh thoảng,1: Không bao giờ,3: Thỉnh thoảng,3: Thỉnh thoảng,1 - 5 phút,Đã từng,"Trả lời câu hỏi về bài tập, Tóm tắt tin nhắn bị trôi, Hướng dẫn tìm tài liệu, Thông báo lịch học",Ngay lập tức bất cứ lúc nào,Chuyển tiếp câu hỏi cho Trợ giảng,Không cần thiết,Quản lý và tóm tắt thông báo,Ko biết hôm đó phải làm gì ở đâu,,,,,,,,,,,,,,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,3,1,3,3,Trao đổi bài học | Nhận thông báo từ giảng viên/trợ giảng,Tin nhắn bị trôi | Khó tìm thông tin | Bỏ lỡ thông báo,Trả lời câu hỏi về bài tập | Tóm tắt tin nhắn bị trôi | Hướng dẫn tìm tài liệu | Thông báo lịch học,,,,,,,0,0,0,0,1,1,1,0,1,0
R014,learner,UNVERIFIED,NO_PII_DETECTED,,Học viên,Thường xuyên (hàng ngày),"Trao đổi bài học, Nhận thông báo từ giảng viên/trợ giảng","Tin nhắn bị trôi, Bỏ lỡ thông báo",4: Thường xuyên,4: Thường xuyên,5: Rất thường xuyên,4: Thường xuyên,Trên 5 phút,Chưa bao giờ,"Tóm tắt tin nhắn bị trôi, Thông báo lịch học",Ngay lập tức bất cứ lúc nào,Chuyển tiếp câu hỏi cho Trợ giảng,Rất muốn,Nhắc nhở hạn nộp bài,"Quá nhiều kênh và thông báo không kịp theo dõi, muốn nhờ AI hỗ trợ tóm tắt",,,,,,,,,,,,,,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,4,4,5,4,Trao đổi bài học | Nhận thông báo từ giảng viên/trợ giảng,Tin nhắn bị trôi | Bỏ lỡ thông báo,Tóm tắt tin nhắn bị trôi | Thông báo lịch học,,,,,,,0,0,1,1,1,0,1,1,0,1
R015,learner,UNVERIFIED,NO_PII_DETECTED,,Học viên,Thường xuyên (hàng ngày),Trao đổi bài học,Tin nhắn bị trôi,3: Thỉnh thoảng,3: Thỉnh thoảng,3: Thỉnh thoảng,3: Thỉnh thoảng,Dưới 1 phút,Đã từng,Trả lời câu hỏi về bài tập,Ngay lập tức bất cứ lúc nào,Cố gắng trả lời dựa trên suy đoán,Rất muốn,Tìm kiếm tài liệu thông minh,,,,,,,,,,,,,,,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,NO_RESPONSE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,3,3,3,3,Trao đổi bài học,Tin nhắn bị trôi,Trả lời câu hỏi về bài tập,,,,,,,0,0,0,0,1,0,0,0,1,0
R016,learner,UNVERIFIED,NO_PII_DETECTED,,Học viên,Thường xuyên (hàng ngày),"Nhận thông báo từ giảng viên/trợ giảng, Tìm kiếm tài liệu cũ","Tin nhắn bị trôi, Khó tìm thông tin, Bỏ lỡ thông báo",4: Thường xuyên,3: Thỉnh thoảng,4: Thường xuyên,2: Hiếm khi,1 - 5 phút,Đã từng,"Hướng dẫn tìm tài liệu, Thông báo lịch học",Chỉ khi được tag đích danh,Chuyển tiếp câu hỏi cho Trợ giảng,Rất muốn,Quản lý và tóm tắt thông báo,,,,,,,,,,,,,,,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,NO_RESPONSE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,4,3,4,2,Nhận thông báo từ giảng viên/trợ giảng | Tìm kiếm tài liệu cũ,Tin nhắn bị trôi | Khó tìm thông tin | Bỏ lỡ thông báo,Hướng dẫn tìm tài liệu | Thông báo lịch học,,,,,,,0,0,0,0,1,1,1,0,1,0
R017,learner,UNVERIFIED,NO_PII_DETECTED,,Học viên,Hiếm khi,"Trao đổi bài học, Nhận thông báo từ giảng viên/trợ giảng","Tin nhắn bị trôi, Khó tìm thông tin, Không biết hỏi ở đâu, Bỏ lỡ thông báo",5: Rất thường xuyên,4: Thường xuyên,3: Thỉnh thoảng,4: Thường xuyên,1 - 5 phút,Đã từng,"Trả lời câu hỏi về bài tập, Tóm tắt tin nhắn bị trôi, Hướng dẫn tìm tài liệu, Thông báo lịch học",Ngay lập tức bất cứ lúc nào,Chuyển tiếp câu hỏi cho Trợ giảng,Rất muốn,Tìm kiếm tài liệu thông minh,Khó tìm kiếm thông tin,,,,,,,,,,,,,,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,5,4,3,4,Trao đổi bài học | Nhận thông báo từ giảng viên/trợ giảng,Tin nhắn bị trôi | Khó tìm thông tin | Không biết hỏi ở đâu | Bỏ lỡ thông báo,Trả lời câu hỏi về bài tập | Tóm tắt tin nhắn bị trôi | Hướng dẫn tìm tài liệu | Thông báo lịch học,,,,,,,0,0,1,1,1,1,1,0,1,1
R018,learner,UNVERIFIED,NO_PII_DETECTED,,Học viên,Thỉnh thoảng (vài lần mỗi tuần),Nhận thông báo từ giảng viên/trợ giảng,Bỏ lỡ thông báo,3: Thỉnh thoảng,4: Thường xuyên,1: Không bao giờ,4: Thường xuyên,1 - 5 phút,Đã từng,"Tóm tắt tin nhắn bị trôi, Thông báo lịch học",Chỉ khi được tag đích danh,Cố gắng trả lời dựa trên suy đoán,Không cần thiết,Quản lý và tóm tắt thông báo,,,,,,,,,,,,,,,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,NO_RESPONSE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,3,4,1,4,Nhận thông báo từ giảng viên/trợ giảng,Bỏ lỡ thông báo,Tóm tắt tin nhắn bị trôi | Thông báo lịch học,,,,,,,0,0,1,1,0,0,1,0,1,1
R019,learner,UNVERIFIED,NO_PII_DETECTED,,Học viên,Thường xuyên (hàng ngày),"Trao đổi bài học, Nhận thông báo từ giảng viên/trợ giảng","Tin nhắn bị trôi, Khó tìm thông tin, Không biết hỏi ở đâu, Bỏ lỡ thông báo, Câu hỏi không được trả lời, Có quá nhiều câu hỏi trùng lặp",5: Rất thường xuyên,3: Thỉnh thoảng,5: Rất thường xuyên,5: Rất thường xuyên,1 - 5 phút,Đã từng,"Trả lời câu hỏi về bài tập, Tóm tắt tin nhắn bị trôi, Hướng dẫn tìm tài liệu, Thông báo lịch học",Ngay lập tức bất cứ lúc nào,Xin lỗi và yêu cầu học viên hỏi lại sau,Có thể cân nhắc,Giải đáp thắc mắc chuyên môn,,,,,,,,,,,,,,,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,NO_RESPONSE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,5,3,5,5,Trao đổi bài học | Nhận thông báo từ giảng viên/trợ giảng,Tin nhắn bị trôi | Khó tìm thông tin | Không biết hỏi ở đâu | Bỏ lỡ thông báo | Câu hỏi không được trả lời | Có quá nhiều câu hỏi trùng lặp,Trả lời câu hỏi về bài tập | Tóm tắt tin nhắn bị trôi | Hướng dẫn tìm tài liệu | Thông báo lịch học,,,,,,,1,1,0,1,1,1,1,0,1,1
R020,learner,UNVERIFIED,NO_PII_DETECTED,,Học viên,Thường xuyên (hàng ngày),"Trao đổi bài học, Nhận thông báo từ giảng viên/trợ giảng, Tìm kiếm tài liệu cũ","Tin nhắn bị trôi, Khó tìm thông tin, Không biết hỏi ở đâu, Bỏ lỡ thông báo",5: Rất thường xuyên,3: Thỉnh thoảng,4: Thường xuyên,5: Rất thường xuyên,1 - 5 phút,Đã từng,"Trả lời câu hỏi về bài tập, Hướng dẫn tìm tài liệu, Thông báo lịch học",Ngay lập tức bất cứ lúc nào,Xin lỗi và yêu cầu học viên hỏi lại sau,Rất muốn,Giải đáp thắc mắc chuyên môn,,,,,,,,,,,,,,,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,OBSERVED,NO_RESPONSE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,5,3,4,5,Trao đổi bài học | Nhận thông báo từ giảng viên/trợ giảng | Tìm kiếm tài liệu cũ,Tin nhắn bị trôi | Khó tìm thông tin | Không biết hỏi ở đâu | Bỏ lỡ thông báo,Trả lời câu hỏi về bài tập | Hướng dẫn tìm tài liệu | Thông báo lịch học,,,,,,,0,0,0,0,1,1,1,0,1,1
