candidate_id,canonical_question,candidate_answer,topic,duplicate_count,answer_authority,source_image_ids,risk_reason,approval_decision,corrected_answer,official_source,reviewer,reviewed_at,valid_until,review_notes
FAQ-008,Nhà ăn hoạt động đến mấy giờ?,,schedule,1,unknown,"[""IMG-012""]",volatile_logistics_or_policy;unanswered;authority_unverified,needs_clarification,Không có câu trả lời đã xác minh; handoff TA.,Labcoach Discord,Team D305,2026-07-30,,Do not promote; runtime must handoff.
FAQ-011,Thời hạn tạo team là khi nào?,,deadline,1,unknown,"[""IMG-020""]",volatile_logistics_or_policy;unanswered;authority_unverified,rejected,Thời hạn tạo team đã qua; record chỉ được giữ để audit và không dùng làm nguồn hiện hành.,Labcoach Discord,Team D305,2026-07-30,2026-07-29,Expired before human review; retained for audit only.
FAQ-018,Discord dùng email khác email đăng ký có sao không?,,technical_setup,1,unknown,"[""IMG-032""]",volatile_logistics_or_policy;unanswered;authority_unverified,approved,Discord phải sử dụng email đã đăng ký với chương trình; dùng email khác có thể khiến BTC không ghi nhận tài khoản và người học không sử dụng đầy đủ hệ thống khóa học.,Labcoach Discord,Team D305,2026-07-30,2026-08-06,Review again on valid_until; this is not the Build Phase end date.
FAQ-020,Không nhận áo ngày khai giảng thì nhận sau bằng cách nào?,,course_policy,1,unknown,"[""IMG-036""]",volatile_logistics_or_policy;unanswered;authority_unverified,approved,"Nếu chưa nhận áo, liên hệ Labcoach/BTC hoặc gửi email đến địa chỉ hỗ trợ chính thức của chương trình.",Labcoach Discord,Team D305,2026-07-30,2026-08-06,Review again on valid_until; this is not the Build Phase end date.
FAQ-022,Tham gia Zoom bằng email nào?,,technical_setup,1,unknown,"[""IMG-039""]",volatile_logistics_or_policy;unanswered;authority_unverified,approved,"Dùng email đã đăng ký với chương trình. Email này được dùng thống nhất cho Discord, Phoenix, Zoom và GitHub.",Labcoach Discord,Team D305,2026-07-30,2026-08-06,Review again on valid_until; this is not the Build Phase end date.
FAQ-026,Điều kiện để được showcase là gì?,,course_policy,1,unknown,"[""IMG-051""]",volatile_logistics_or_policy;unanswered;authority_unverified,approved,"Điều kiện showcase:
- Có role Active Builder.
- Tích lũy tối thiểu 200 XP.
- Bài showcase dùng template cộng đồng gồm tên sản phẩm, mô tả, link demo nếu có, tech stack và nội dung cần feedback.
- Mỗi sản phẩm có thread riêng.",Labcoach Discord,Team D305,2026-07-30,2026-08-06,Review again on valid_until; this is not the Build Phase end date.
FAQ-028,Team ba người có được tự động ghép thêm người không?,,team_workflow,1,unknown,"[""IMG-056""]",volatile_logistics_or_policy;unanswered;authority_unverified,approved,Team ba người có thể được BTC tự động ghép thêm thành viên; đây không phải cam kết chắc chắn nên nếu cần xác nhận team cụ thể phải hỏi TA.,Labcoach Discord,Team D305,2026-07-30,2026-08-06,Review again on valid_until; this is not the Build Phase end date.
FAQ-029,Chương trình có hỗ trợ xác nhận thực tập không?,,course_policy,1,learner_only,"[""IMG-060"", ""IMG-061""]",volatile_logistics_or_policy;unanswered;authority_unverified,needs_clarification,Không có quy trình xác nhận thực tập rõ ràng; handoff TA.,Labcoach Discord,Team D305,2026-07-30,,Do not promote; runtime must handoff.
FAQ-031,Team random có dành cho người chưa có team không?,,team_workflow,1,unknown,"[""IMG-064""]",volatile_logistics_or_policy;unanswered;authority_unverified,approved,Team random dành cho người chưa có team.,Labcoach Discord,Team D305,2026-07-30,2026-08-06,Review again on valid_until; this is not the Build Phase end date.
FAQ-033,Kết nối Wi-Fi trường bằng cách nào?,,technical_setup,1,unknown,"[""IMG-001""]",volatile_logistics_or_policy;unanswered;authority_unverified,approved,"VinUni Guest: kết nối rồi xác nhận trên trang web. VinUni Students: dùng tài khoản trường. Với mạng dành cho AI20K hoặc sự kiện, lấy thông tin truy cập hiện hành từ BTC/Labcoach.",Labcoach Discord,Team D305,2026-07-30,2026-08-06,Review again on valid_until; this is not the Build Phase end date.
FAQ-007,Làm sao tạo ticket hỗ trợ?,"Gõ /ticket create, chọn loại, điền tiêu đề và mô tả chi tiết.",technical_setup,1,unknown,"[""IMG-011""]",volatile_logistics_or_policy;authority_unverified,approved,"Dùng /ticket create, chọn loại ticket, điền tiêu đề và mô tả chi tiết.",Labcoach Discord,Team D305,2026-07-30,2026-08-06,Review again on valid_until; this is not the Build Phase end date.
FAQ-013,Ai cần nộp weekly report cho team?,Một đại diện nộp weekly report cho cả team.,submission,1,unknown,"[""IMG-022""]",volatile_logistics_or_policy;authority_unverified,approved,Một thành viên đại diện nộp weekly report cho cả team.,Labcoach Discord,Team D305,2026-07-30,2026-08-06,Review again on valid_until; this is not the Build Phase end date.
FAQ-015,Đăng ký hoặc chọn đề tài bằng cách nào?,Ảnh gợi ý dùng /exam pick để chọn đề tài.,checkpoint,1,unknown,"[""IMG-025""]",volatile_logistics_or_policy;authority_unverified,approved,Dùng /exam pick để chọn đề tài.,Labcoach Discord,Team D305,2026-07-30,2026-08-06,Review again on valid_until; this is not the Build Phase end date.
FAQ-016,Đổi đề tài đã chọn như thế nào?,"Nếu có conflict, mở ticket yêu cầu đổi đề tài trước thời hạn.",checkpoint,1,unknown,"[""IMG-027""]",volatile_logistics_or_policy;authority_unverified,approved,"Nếu cần đổi đề tài do conflict, mở ticket yêu cầu đổi trước thời hạn hiện hành.",Labcoach Discord,Team D305,2026-07-30,2026-08-06,Review again on valid_until; this is not the Build Phase end date.
FAQ-017,Deadline weekly report là khi nào?,Ảnh ghi nộp trước 12:00 trước Mentor Duty tối thứ 4 và thứ 7.,deadline,1,unknown,"[""IMG-030""]",volatile_logistics_or_policy;authority_unverified,approved,Weekly report cần được nộp trước 12:00 trước Mentor Duty tối thứ Tư và thứ Bảy.,Labcoach Discord,Team D305,2026-07-30,2026-08-06,Review again on valid_until; this is not the Build Phase end date.
FAQ-021,Làm sao kiểm tra điểm danh workshop?,"Ảnh nói Zoom cần đúng email đăng ký và đúng cú pháp tên để điểm danh tự động, nhưng bot cũng yêu cầu Mod xác nhận.",course_policy,1,unknown,"[""IMG-037""]",volatile_logistics_or_policy;authority_unverified,approved,Tham gia Zoom bằng đúng email đăng ký và đặt tên đúng cú pháp để hệ thống điểm danh tự động.,Labcoach Discord,Team D305,2026-07-30,2026-08-06,Review again on valid_until; this is not the Build Phase end date.
FAQ-023,Sửa daily hoặc weekly đã nộp bằng cách nào?,Dùng /daily update để sửa daily và /weekly update để sửa weekly.,submission,1,unknown,"[""IMG-044""]",volatile_logistics_or_policy;authority_unverified,approved,Dùng /daily update để sửa daily và /weekly update để sửa weekly.,Labcoach Discord,Team D305,2026-07-30,2026-08-06,Review again on valid_until; this is not the Build Phase end date.
FAQ-024,Nộp daily report ở đâu?,Dùng /daily trong thread Thảo luận của channel riêng của team.,submission,1,unknown,"[""IMG-046""]",volatile_logistics_or_policy;authority_unverified,approved,Dùng /daily trong thread Thảo luận của channel riêng của team.,Labcoach Discord,Team D305,2026-07-30,2026-08-06,Review again on valid_until; this is not the Build Phase end date.
FAQ-030,Mentor Duty diễn ra khi nào và Mentor của team là ai?,Ảnh chưa có danh sách tên; bot nói Mentor Duty 20:00–22:00 tối thứ 4 và thứ 7 và BTC sẽ thông báo phân chia.,schedule,1,verified,"[""IMG-062""]",volatile_logistics_or_policy,approved,Mentor Duty diễn ra từ 20:00–22:00 tối thứ Tư và thứ Bảy. BTC sẽ thông báo mentor phụ trách từng team.,Labcoach Discord,Team D305,2026-07-30,2026-08-06,Review again on valid_until; this is not the Build Phase end date.
FAQ-032,Ngân hàng đề tài và thời hạn chọn đề tài được công bố khi nào?,Ảnh nói ngân hàng đề tài đã công bố và hạn chốt là hết 25/07; cần kiểm tra pinned announcement.,deadline,1,unknown,"[""IMG-065""]",volatile_logistics_or_policy;authority_unverified,rejected,Deadline chọn đề tài đã hết hạn; record chỉ được giữ để audit và không dùng làm nguồn hiện hành.,Labcoach Discord,Team D305,2026-07-30,2026-07-25,Expired before human review; retained for audit only.
FAQ-003,Làm sao đăng nhập lại khi Git báo lỗi?,,technical_setup,1,unknown,"[""IMG-006""]",unanswered;authority_unverified,needs_clarification,Ngoài phạm vi hỗ trợ; hướng dẫn learner liên hệ TA hoặc bộ phận hỗ trợ Git phù hợp.,Labcoach Discord,Team D305,2026-07-30,,Do not promote; runtime must handoff.
FAQ-005,Không xem được slide thì xử lý thế nào?,,technical_setup,1,unknown,"[""IMG-008""]",unanswered;authority_unverified,approved,"Nếu slide chưa hiển thị do tải chậm, chờ tải xong hoặc refresh; nếu vẫn lỗi thì liên hệ TA.",Labcoach Discord,Team D305,2026-07-30,,
FAQ-025,Bot hỗ trợ những nội dung nào?,Bot chỉ hỗ trợ thông tin liên quan đến chương trình Build Phase.,other,1,unknown,"[""IMG-048""]",authority_unverified,approved,Bot ưu tiên hỗ trợ nội dung thuộc Build Phase. Nội dung khác chỉ được xử lý khi chuyển TA và có phản hồi được xác minh từ TA.,Labcoach Discord,Team D305,2026-07-30,,
