candidate_id,canonical_question,question_variants,candidate_answer,topic,source_image_ids,answer_authority,duplicate_count,has_conflict,contains_volatile_information,pii_review_status,approval_decision,reviewer,reviewed_at,notes
FAQ-011,Thời hạn tạo team là khi nào?,"[""Thời hạn tạo team đến bao giờ?""]",,deadline,"[""IMG-020""]",unknown,1,false,true,redacted_needs_human_review,,,,
FAQ-012,Làm sao nhận role để thấy các kênh?,"[""Nhận role kiểu gì?"", ""Cần làm gì để hoàn thành rules?"", ""Tên màu trắng cần làm gì?"", ""Chưa thấy kênh khác vì chưa có role?""]",Cần hoàn thành bước xác nhận/verify theo hướng dẫn BTC để nhận role và thấy các kênh.,course_policy,"[""IMG-021"", ""IMG-038"", ""IMG-054"", ""IMG-057"", ""IMG-058""]",labcoach_candidate,4,false,true,redacted_needs_human_review,,,,
FAQ-013,Ai cần nộp weekly report cho team?,"[""Lệnh báo cáo tuần là gì và ai nộp?""]",Một đại diện nộp weekly report cho cả team.,submission,"[""IMG-022""]",unknown,1,false,true,redacted_needs_human_review,,,,
FAQ-014,Các buổi tối có học online và được báo trước không?,"[""Buổi tối có luôn hoạt động online không?"", ""Hôm nay và ngày mai có chương trình gì?"", ""Hôm nay có thông báo quan trọng nào?""]",,schedule,"[""IMG-024"", ""IMG-053"", ""IMG-059""]",unknown,3,false,true,redacted_needs_human_review,,,,
FAQ-015,Đăng ký hoặc chọn đề tài bằng cách nào?,"[""Đăng ký đề tài như nào?""]",Ảnh gợi ý dùng /exam pick để chọn đề tài.,checkpoint,"[""IMG-025""]",unknown,1,false,true,redacted_needs_human_review,,,,
FAQ-016,Đổi đề tài đã chọn như thế nào?,"[""Cách đổi đề tài đã chọn sang đề tài khác?""]","Nếu có conflict, mở ticket yêu cầu đổi đề tài trước thời hạn.",checkpoint,"[""IMG-027""]",unknown,1,false,true,redacted_needs_human_review,,,,
FAQ-017,Deadline weekly report là khi nào?,"[""Deadline of weekly report?""]",Ảnh ghi nộp trước 12:00 trước Mentor Duty tối thứ 4 và thứ 7.,deadline,"[""IMG-030""]",unknown,1,false,true,redacted_needs_human_review,,,,Highly volatile automated answer.
FAQ-018,Discord dùng email khác email đăng ký có sao không?,"[""Tài khoản Discord không cùng email đăng ký có sao không?""]",,technical_setup,"[""IMG-032""]",unknown,1,false,true,redacted_needs_human_review,,,,
FAQ-019,Làm sao tăng XP?,"[""Làm sao để tăng XP?"", ""Các mức XP của standup/import/weekly/GitHub có đúng không?""]","XP được nhắc đến cho daily, weekly, gate, workshop, hỗ trợ cộng đồng và showcase; các mức cụ thể chưa được xác minh.",course_policy,"[""IMG-035"", ""IMG-063""]",unknown,2,true,true,redacted_needs_human_review,,,,Conflicting/unverified XP claims; bot explicitly requested Mod confirmation.
FAQ-020,Không nhận áo ngày khai giảng thì nhận sau bằng cách nào?,"[""Bận khai giảng nên chưa nhận áo thì làm sao?""]",,course_policy,"[""IMG-036""]",unknown,1,false,true,redacted_needs_human_review,,,,
FAQ-021,Làm sao kiểm tra điểm danh workshop?,"[""Làm sao kiểm tra tình trạng điểm danh?""]","Ảnh nói Zoom cần đúng email đăng ký và đúng cú pháp tên để điểm danh tự động, nhưng bot cũng yêu cầu Mod xác nhận.",course_policy,"[""IMG-037""]",unknown,1,false,true,redacted_needs_human_review,,,,Automated answer contains a self-declared uncertainty.
FAQ-022,Tham gia Zoom bằng email nào?,"[""Zoom dùng email cá nhân hay email trường?""]",,technical_setup,"[""IMG-039""]",unknown,1,false,true,redacted_needs_human_review,,,,
FAQ-023,Sửa daily hoặc weekly đã nộp bằng cách nào?,"[""Viết daily bị nhầm thì sửa thế nào?""]",Dùng /daily update để sửa daily và /weekly update để sửa weekly.,submission,"[""IMG-044""]",unknown,1,false,true,redacted_needs_human_review,,,,
FAQ-024,Nộp daily report ở đâu?,"[""Nộp daily report ở đâu?""]",Dùng /daily trong thread Thảo luận của channel riêng của team.,submission,"[""IMG-046""]",unknown,1,false,true,redacted_needs_human_review,,,,
FAQ-025,Bot hỗ trợ những nội dung nào?,"[""Bot làm được những gì?""]",Bot chỉ hỗ trợ thông tin liên quan đến chương trình Build Phase.,other,"[""IMG-048""]",unknown,1,false,false,redacted_needs_human_review,,,,
FAQ-026,Điều kiện để được showcase là gì?,"[""Cần cấp độ nào để showcase và cả đội hay cá nhân phải đạt?""]",,course_policy,"[""IMG-051""]",unknown,1,false,true,redacted_needs_human_review,,,,
FAQ-027,Thư viện mở cửa khi nào?,"[""Thư viện có mở cuối tuần không và giờ mở cửa là gì?""]","Labcoach cho biết kỳ hè thường không mở cuối tuần; ngày thường 08:45–17:15, phòng 24/7 mở tối và cuối tuần.",schedule,"[""IMG-055""]",labcoach_candidate,1,false,true,redacted_needs_human_review,,,,Must verify current facility schedule.
FAQ-028,Team ba người có được tự động ghép thêm người không?,"[""Nhóm ba người có tự động random fill thành bốn không?""]",,team_workflow,"[""IMG-056""]",unknown,1,false,true,redacted_needs_human_review,,,,
FAQ-029,Chương trình có hỗ trợ xác nhận thực tập không?,"[""Có hỗ trợ dấu mộc thực tập và cần hoàn thành 6 hay 12 tuần?""]",,course_policy,"[""IMG-060"", ""IMG-061""]",learner_only,1,false,true,redacted_needs_human_review,,,,Only answer is a learner statement; not usable as knowledge.
FAQ-030,Mentor Duty diễn ra khi nào và Mentor của team là ai?,"[""Có danh sách Mentor trong Mentor Duty không?""]",Ảnh chưa có danh sách tên; bot nói Mentor Duty 20:00–22:00 tối thứ 4 và thứ 7 và BTC sẽ thông báo phân chia.,schedule,"[""IMG-062""]",unknown,1,false,true,redacted_needs_human_review,,,,Automated schedule answer requires official verification.
FAQ-031,Team random có dành cho người chưa có team không?,"[""Team random dành cho ai chưa có team đúng không?""]",,team_workflow,"[""IMG-064""]",unknown,1,false,true,redacted_needs_human_review,,,,
FAQ-032,Ngân hàng đề tài và thời hạn chọn đề tài được công bố khi nào?,"[""Thời gian công bố đề tài là bao giờ?""]",Ảnh nói ngân hàng đề tài đã công bố và hạn chốt là hết 25/07; cần kiểm tra pinned announcement.,deadline,"[""IMG-065""]",unknown,1,false,true,redacted_needs_human_review,,,,Expired/volatile date; do not use until verified.
FAQ-033,Kết nối Wi-Fi trường bằng cách nào?,"[""Hướng dẫn kết nối Wi-Fi trường.""]",,technical_setup,"[""IMG-001""]",unknown,1,false,true,redacted_needs_human_review,,,,QR payload intentionally excluded from processed data.
